"Country","Education","Supernatural.Beliefs","Religious.Formation","Belief.In.God","Religious.Practice","Year"
"united kingdom",3,0.4802691596912,0.878332096570637,0.265895715768616,0.0712680087764998,"1991"
"united kingdom",3,0.32870176098932,0.886828824717786,0.865186029779917,0.0864201633940042,"1991"
"united kingdom",7,0.0399593979316005,0.737074339586244,0.74523247732448,0.840124014929626,"1991"
"united kingdom",7,0.971676339337079,0.0596281684559856,0.0158581864351566,0.0679606754910289,"1991"
"united kingdom",3,0.670525453397615,0.546766111834662,0.0201151717992364,0.0987000175052655,"1991"
"united kingdom",4,0.974255718824495,0.0476691285196831,0.0166116079580266,0.0240611948973398,"1991"
"united kingdom",8,0.572772750055564,0.349340100449313,0.901678755481053,0.117419560398463,"1991"
"united kingdom",3,0.650753549361118,0.790688225491089,0.638535669447242,0.17811927083372,"1991"
"united kingdom",6,0.69485905302605,0.143085704944018,0.682773963417341,0.112536195542385,"1991"
"united kingdom",8,0.288307698050993,0.895449067212781,0.453185393495435,0.532550576502519,"1991"
"united kingdom",3,0.370947846048153,0.836260391282359,0.260247837403557,0.216954722836393,"1991"
"united kingdom",4,0.216759670620014,0.844902810329653,0.728802188310458,0.224238461653801,"1991"
"united kingdom",7,0.685548235527041,0.930843643784115,0.0132543757483011,0.301587815251525,"1991"
"united kingdom",6,0.638643240336351,0.63301148889062,0.676045281296376,0.126173059220731,"1991"
"united kingdom",5,0.985333242944382,0.0407710155990476,0.766369979476781,0.0924479264439119,"1991"
"united kingdom",6,0.164532656307854,0.850647111435805,0.264679730934483,0.19637752867453,"1991"
"united kingdom",5,0.119275656351789,0.948059546290586,0.459687475020813,0.683348986267095,"1991"
"united kingdom",6,0.909971611236733,0.0827070660878365,0.900090108862963,0.0979872081559594,"1991"
"united kingdom",7,0.959755799369536,0.0461567770122834,0.263832802822769,0.074614604454743,"1991"
"united kingdom",5,0.95739397333311,0.152739171385491,0.261966674758317,0.443346488778649,"1991"
"united kingdom",6,0.357538428112794,0.856772155667069,0.444252294624472,0.408882866722449,"1991"
"united kingdom",7,0.518319484958879,0.722572321283824,0.0653237231845627,0.364793429652499,"1991"
"united kingdom",3,0.641515241495793,0.315794895978979,0.0329299151242664,0.326994242185851,"1991"
"united kingdom",7,0.628147783714045,0.327504229607986,0.579541167273817,0.379164044916322,"1991"
"united kingdom",3,0.680686045007668,0.0944424383617995,0.721150809228519,0.063247821647232,"1991"
